id;product_size;color;price;stock;image_url;is_active
1;jumbo;plum;18873.17;20358;vivaciously considering bah;true
2;unlike weary grok;pink;13497.27;21113;provided;true
3;quip;magenta;20857.88;28002;agreement;false
4;pfft zowie though;yellow;12954.9;7709;up;true
5;ha merry;indigo;129.43;28101;upon breastplate;true
6;gently;indigo;3299.64;4413;atop amongst beside;true
7;atop;yellow;18572.96;32525;finally considering phooey;true
8;pfft minus slowly;orchid;17506.47;5195;covenant;false
9;husk plumber not;black;1002.57;11334;cornet depot;false
10;guide numeracy;plum;25190.64;31323;honestly fooey handover;false
